start,goal,length,capacity,street,n_direction,hodou,width,cross_node,from_,to_
196,280,160.16,1569.0,市道1185号線,1,1,6.0,0,34,62
196,277,200.597,1750.0,市道16号線_7,2,0,9.1,1,34,61
983,752,59.627,1750.0,県道15号線_10,2,0,10.0,1,178,130
197,1444,86.157,1750.0,県道39号線_8,2,0,7.6,1,35,270
197,211,50.735,1669.0,市道14号線_3,2,1,8.2,1,35,43
197,1384,91.878,1750.0,県道39号線_9,2,1,6.9,1,35,259
197,1157,90.461,1669.0,市道14号線_2,2,1,8.3,1,35,202
198,1170,69.132,1569.0,市道1174号線_1,2,1,6.0,1,36,210
198,733,105.846,1669.0,市道14号線_2,2,1,8.3,1,36,123
198,682,110.3,1669.0,市道14号線_1,2,1,8.3,1,36,113
201,204,56.542,1192.0,市道1194号線,1,1,5.0,0,37,38
201,1151,105.511,80.0,市道1197号線,2,1,3.6,0,37,197
204,195,103.564,1192.0,市道1194号線,1,1,5.0,0,38,33
204,10,109.731,1669.0,市道1196号線,1,1,7.3,0,38,4
205,1444,93.835,1750.0,県道39号線_8,2,0,7.6,1,39,270
205,206,80.67,650.0,市道1209号線,2,1,5.5,0,39,40
205,769,120.553,1750.0,県道39号線_7,2,0,7.6,1,39,143
206,359,90.291,1669.0,市道1210号線,2,1,7.7,0,40,65
206,1187,45.571,1669.0,市道1209号線,2,1,7.3,0,40,220
206,205,80.67,650.0,市道1209号線,2,1,5.5,0,40,39
206,565,110.967,1669.0,市道1210号線,2,1,7.7,0,40,98
207,1186,57.663,1669.0,県道51号線_2,2,1,9.3,1,41,219
207,1187,107.501,1669.0,市道1209号線,2,1,7.3,0,41,220
207,1206,101.003,1669.0,県道51号線_1,2,1,9.3,1,41,224
210,937,91.342,1569.0,市道1341号線,2,1,6.0,0,42,166
210,232,121.405,1529.0,市道1342号線,1,1,5.8,0,42,53
211,197,50.735,1669.0,市道14号線_3,2,1,8.2,1,43,35
211,1185,73.592,1669.0,市道1210号線,2,1,8.0,0,43,218
211,1214,169.416,1669.0,市道14号線_3,2,1,8.2,1,43,226
211,1174,350.0,650.0,市道1207号線,2,1,6.534721282,0,43,213
214,126,76.302,1750.0,市道2号線,2,0,7.5,0,44,25
214,125,119.873,1750.0,市道2号線,2,0,7.5,0,44,24
214,1184,246.382,1669.0,市道1221号線,2,1,6.7,0,44,217
220,647,20.546,13200.0,国道254号線,2,0,24.0,1,45,108
220,1224,107.194,1750.0,県道51号線_12,2,0,6.7,1,45,229
220,228,250.958,13200.0,国道254号線,2,0,24.0,1,45,49
221,61,13.983,1750.0,初雁城通り_1,2,0,9.0,1,46,7
221,415,347.622,13200.0,国道254号線,2,0,24.0,1,46,73
221,228,92.895,13200.0,国道254号線,2,0,24.0,1,46,49
225,645,27.493,1669.0,市道1414号線,1,1,7.0,0,47,107
227,61,57.97,1750.0,初雁城通り_1,2,0,9.0,1,48,7
227,759,105.998,1750.0,初雁城通り_1,2,0,9.0,1,48,135
227,230,75.308,1669.0,市道1602号線,2,1,7.0,0,48,51
228,229,26.515,1669.0,市道1602号線,2,1,7.0,0,49,50
228,221,92.895,13200.0,国道254号線,2,0,24.0,1,49,46
228,220,250.958,13200.0,国道254号線,2,0,24.0,1,49,45
229,231,8.111,1669.0,市道1602号線,2,1,7.0,0,50,52
229,228,26.515,1669.0,市道1602号線,2,1,7.0,0,50,49
229,61,88.684,1750.0,市道1546号線,2,0,10.0,0,50,7
230,227,75.308,1669.0,市道1602号線,2,1,7.0,0,51,48
230,656,168.801,200.0,市道1164号線,2,1,4.0,0,51,109
230,231,26.352,1669.0,市道1602号線,2,1,7.0,0,51,52
231,229,8.111,1669.0,市道1602号線,2,1,7.0,0,52,50
231,117,228.762,200.0,市道1166号線,2,1,4.0,0,52,22
231,230,26.352,1669.0,市道1602号線,2,1,7.0,0,52,51
232,98,64.685,1750.0,市道3号線_1,2,0,10.0,1,53,15
232,1278,102.115,1750.0,市道3号線_1,2,0,9.0,1,53,244
237,1265,54.268,1669.0,市道1152号線,2,1,6.7,0,54,239
237,1232,52.457,1669.0,県道12号線_2,2,1,10.5,1,54,234
237,762,255.729,1669.0,県道12号線_1,2,1,10.5,1,54,138
256,935,98.781,290.0,市道1160号線,2,1,4.3,0,55,164
256,1076,54.286,1750.0,県道51号線_10,2,0,6.7,1,55,196
256,154,52.502,1750.0,県道51号線_10,2,0,6.7,1,55,29
257,1402,24.105,1669.0,県道51号線_9,2,1,6.7,1,56,262
257,1076,39.586,1750.0,県道51号線_10,2,0,6.7,1,56,196
257,936,76.767,1669.0,市道2号線,2,1,7.5,0,56,165
259,96,59.911,1750.0,市道1319号線,2,0,10.0,0,57,13
259,176,52.962,1750.0,市道1319号線,2,0,10.0,0,57,31
259,270,88.761,1192.0,市道1317号線,1,1,3.8,0,57,59
259,90,201.517,1192.0,市道1317号線,1,1,3.638798712,0,57,11
266,8,75.219,1750.0,市道1311号線,2,0,6.7,0,58,3
266,185,91.911,1669.0,市道1311号線,2,1,7.1,0,58,32
270,1281,25.754,1488.0,市道1313号線_2,1,1,5.6,0,59,246
271,1161,28.168,1750.0,県道39号線_5,2,0,10.9,1,60,205
271,1158,107.063,1569.0,市道15号線_2,2,1,6.0,1,60,203
271,1253,222.768,1569.0,市道1108号線_1,2,1,6.0,1,60,236
277,745,185.918,1192.0,市道1173号線,1,1,3.988839166,0,61,126
277,196,200.597,1750.0,市道16号線_3,2,0,9.1,1,61,34
277,1158,410.532,1569.0,市道15号線_1,2,1,6.0,1,61,203
280,745,152.904,117.8443337,市道1175号線,2,1,3.726147779,0,62,126
280,198,215.586,1192.0,市道1185号線,1,1,4.5,0,62,36
